id_countries|country_code|country|region|sub-region
138|STP|Sao Tome and Principe|Africa|Sub-Saharan Africa
139|SAU|Saudi Arabia|Asia|Western Asia
140|SEN|Senegal|Africa|Sub-Saharan Africa
141|SRB|Serbia|Europe|Southern Europe
142|SYC|Seychelles|Africa|Sub-Saharan Africa
143|SLE|Sierra Leone|Africa|Sub-Saharan Africa
144|SGP|Singapore|Asia|South-eastern Asia
145|SVK|Slovakia|Europe|Eastern Europe
146|SVN|Slovenia|Europe|Southern Europe
147|SLB|Solomon Islands|Oceania|Melanesia
148|SOM|Somalia|Africa|Sub-Saharan Africa
149|ZAF|South Africa|Africa|Sub-Saharan Africa
